transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
1,5/13/2025,15:17:18,260,Female,70,Books,10,141.19,1002.82,1411.9
2,4/23/2026,12:05:28,193,Male,62,Sports,1,379.41,195.49,379.41
3,4/8/2025,19:17:09,143,Female,29,Sports,4,272.39,577.02,1089.56
4,11/14/2025,16:18:59,104,Female,30,Sports,7,152.56,717.16,1067.92
5,12/22/2024,13:21:17,460,Female,73,Electronics,6,393.89,1477.75,2363.34
6,10/7/2024,15:36:27,406,Male,27,Food,10,287.31,1335.68,2873.1
7,12/23/2025,18:31:34,214,Female,50,Books,1,338.96,177.61,338.96
8,5/7/2024,11:55:42,242,Male,74,Beauty,1,178.38,135.57,178.38
9,12/7/2024,15:40:46,431,Male,57,Clothing,8,253.61,1370.04,2028.88
10,1/13/2025,19:58:30,209,Male,71,Food,4,318.24,1011.23,1272.96
11,4/1/2026,19:02:26,93,Male,33,Books,5,217.33,768.05,1086.65
12,9/5/2025,16:27:10,430,Male,62,Toys,7,119.23,648.32,834.61
13,1/17/2025,13:09:48,142,Male,52,Toys,8,481.78,1874.99,3854.24
14,2/24/2025,12:50:48,434,Male,20,Electronics,10,267.95,1898.68,2679.5
15,9/18/2024,16:34:37,404,Female,73,Sports,7,373.61,1067.26,2615.27
16,5/18/2025,16:28:04,434,Female,22,Clothing,2,220.25,294.39,440.5
17,5/5/2025,11:53:07,112,Female,43,Books,4,193.69,455.34,774.76
18,3/13/2026,14:14:33,417,Male,28,Beauty,10,218.4,1176.53,2184
19,10/4/2025,13:32:47,375,Male,79,Books,1,219.37,163.42,219.37
20,12/7/2025,10:06:51,59,Male,24,Food,10,283.49,2102.67,2834.9
21,10/11/2025,16:11:55,43,Male,70,Toys,9,283.15,1042.07,2548.35
22,11/25/2024,20:48:11,207,Female,73,Home & Garden,3,261.15,504.39,783.45
23,4/29/2025,14:29:37,268,Male,27,Food,3,89.02,146.12,267.06
24,9/15/2025,10:20:00,296,Female,59,Books,10,260.64,1475.91,2606.4
25,5/6/2024,20:30:30,118,Male,69,Clothing,9,105.32,694.62,947.88
26,11/15/2024,13:57:03,20,Female,51,Books,10,84.91,444.87,849.1
27,7/8/2025,9:23:48,222,Male,20,Books,3,468.01,1091.24,1404.03
28,8/27/2024,20:19:44,166,Female,25,Electronics,8,312.35,1179.07,2498.8
29,11/16/2024,18:36:49,131,Male,48,Beauty,2,338.26,449.95,676.52
30,2/4/2026,14:03:04,156,Female,28,Clothing,3,215.85,433.11,647.55
31,7/7/2024,20:27:29,184,Male,62,Books,2,456.77,457.57,913.54
32,5/12/2025,17:43:55,90,Female,24,Sports,1,328.02,173.82,328.02
33,8/28/2025,9:19:23,94,Female,62,Beauty,2,390.36,572.99,780.72
34,4/30/2025,19:59:58,13,Male,19,Food,8,200.07,1127.95,1600.56
35,9/2/2025,19:23:02,461,Female,23,Clothing,9,481.01,2301.51,4329.09
36,1/30/2026,18:49:10,322,Male,58,Food,2,414.72,508.93,829.44
37,2/18/2026,20:48:44,293,Male,80,Toys,7,430.63,1280.14,3014.41
38,7/27/2025,20:50:03,433,Male,49,Books,5,106.79,258.16,533.95
39,10/31/2025,11:31:25,230,Female,37,Food,3,153.71,274.06,461.13
40,5/31/2025,20:40:26,322,Female,74,Food,9,160.67,628.14,1446.03
41,2/24/2026,15:35:45,292,Male,51,Electronics,6,153.68,679.88,922.08
42,10/4/2024,12:57:53,438,Male,67,Food,1,431.32,296.4,431.32
43,11/6/2024,17:52:42,26,Female,33,Sports,5,40.15,156.07,200.75
44,2/16/2026,11:33:26,75,Female,42,Sports,7,61.15,289.96,428.05
45,4/17/2026,13:35:41,456,Female,29,Beauty,4,155.11,481.56,620.44
46,11/4/2024,11:01:50,364,Male,24,Books,8,119.94,596.63,959.52
47,5/2/2025,15:14:49,424,Male,56,Home & Garden,10,135.13,864.95,1351.3
48,10/26/2024,13:33:05,299,Male,34,Toys,5,404.02,1597.47,2020.1
49,5/28/2025,17:35:58,150,Male,62,Food,9,292.49,1729.1,2632.41
50,6/28/2025,15:05:14,148,Male,28,Food,9,27.74,102.94,249.66
51,6/8/2024,10:38:52,8,Female,23,Clothing,9,228.93,1420.67,2060.37
52,11/10/2024,12:41:29,29,Male,78,Electronics,1,218.75,166.73,218.75
53,2/19/2026,17:50:41,296,Female,40,Home & Garden,2,79.12,113.65,158.24
54,3/25/2025,20:50:36,474,Female,44,Beauty,3,346.17,657.93,1038.51
55,10/19/2025,10:57:57,414,Male,63,Toys,4,358.5,958.66,1434
56,7/15/2024,18:53:36,209,Female,23,Home & Garden,10,367.42,2924.95,3674.2
57,12/25/2024,17:11:41,128,Male,55,Food,9,371.02,1456.77,3339.18
58,1/13/2026,18:02:59,340,Female,19,Clothing,10,25.03,166.92,250.3
59,12/25/2025,13:44:36,116,Male,39,Books,6,478.11,1472.65,2868.66
60,4/26/2024,10:17:34,439,Male,37,Electronics,1,411.75,270.12,411.75
61,4/18/2026,12:39:22,144,Female,42,Books,9,454.39,2629.76,4089.51
62,12/10/2025,20:20:05,430,Male,32,Beauty,6,32.43,89.78,194.58
63,11/26/2024,20:14:03,318,Female,77,Home & Garden,4,468.58,904.73,1874.32
64,7/27/2024,15:32:17,235,Male,66,Beauty,4,409.65,1062.88,1638.6
65,8/29/2025,20:34:59,7,Male,46,Food,3,422.68,572.26,1268.04
66,2/4/2025,16:25:08,464,Male,25,Beauty,7,69.31,245.53,485.17
67,1/19/2025,11:07:48,45,Female,54,Books,3,375.92,827.89,1127.76
68,2/28/2025,9:35:28,443,Female,66,Clothing,2,480.96,510.62,961.92
69,5/17/2024,12:47:12,239,Male,69,Beauty,10,347.31,2067.27,3473.1
70,1/4/2025,10:29:58,440,Female,50,Sports,8,296.02,1838.77,2368.16
71,6/3/2024,16:22:46,432,Male,39,Clothing,4,474.17,931,1896.68
72,2/18/2026,12:41:51,155,Female,67,Home & Garden,8,235.4,1046.78,1883.2
73,3/20/2025,10:43:16,181,Female,64,Electronics,1,309.66,198.98,309.66
74,7/10/2025,14:13:44,215,Male,22,Electronics,5,251.26,882.09,1256.3
75,6/19/2025,14:13:31,88,Male,56,Food,9,468.1,3204.59,4212.9
76,12/31/2024,18:01:47,256,Male,35,Food,1,61.14,46.84,61.14
77,5/19/2025,12:54:21,73,Male,55,Sports,4,263.03,747.7,1052.12
78,7/9/2025,14:36:03,419,Male,71,Home & Garden,6,351.3,1035.63,2107.8
79,1/14/2026,10:04:04,179,Female,70,Books,10,401.16,1644.45,4011.6
80,9/4/2025,18:37:36,212,Female,54,Electronics,8,301.93,1336.97,2415.44
81,4/8/2026,20:44:40,293,Male,47,Electronics,3,456.74,625.67,1370.22
82,9/25/2025,10:40:48,234,Male,68,Electronics,5,472.45,1616.15,2362.25
83,11/16/2024,18:53:12,465,Male,48,Books,7,55.55,258.37,388.85
84,10/29/2025,12:59:33,239,Female,27,Electronics,1,216.13,90.25,216.13
85,9/11/2024,16:46:44,223,Male,32,Beauty,7,36.14,185.85,252.98
86,1/21/2025,15:13:21,119,Male,59,Home & Garden,8,181.47,725.15,1451.76
87,1/27/2026,20:55:52,313,Female,76,Clothing,8,280.01,1283.32,2240.08
88,12/6/2025,17:38:58,264,Female,65,Clothing,9,457.63,2747.87,4118.67
89,10/18/2025,16:24:22,207,Female,61,Sports,6,427.11,1465.25,2562.66
90,4/21/2025,13:19:50,95,Female,35,Beauty,6,85.56,295.96,513.36
91,7/28/2024,10:01:02,373,Male,40,Electronics,2,69.19,58.98,138.38
92,5/19/2025,13:38:41,222,Female,50,Electronics,3,304.9,512.76,914.7
93,10/8/2025,16:05:33,366,Female,33,Food,4,277.76,784.33,1111.04
94,6/10/2025,18:16:31,276,Male,71,Food,4,151.53,464.33,606.12
95,2/14/2026,17:58:44,380,Male,55,Sports,8,452.24,2045.57,3617.92
96,8/24/2024,20:24:50,231,Male,52,Electronics,1,465.5,265.07,465.5
97,12/23/2024,20:56:57,309,Female,51,Sports,10,216.24,1472.7,2162.4
98,3/11/2025,20:27:48,119,Male,45,Beauty,4,447.89,1392.24,1791.56
99,4/12/2025,17:01:20,268,Female,19,Clothing,4,207.38,420.42,829.52
100,7/25/2024,9:34:45,433,Female,47,Electronics,1,374.99,216.02,374.99
101,3/1/2025,17:36:43,273,Female,30,Home & Garden,3,251.07,541.1,753.21
102,3/6/2025,15:04:20,64,Male,58,Books,5,83.23,267.95,416.15
103,1/24/2025,17:00:43,298,Female,33,Beauty,6,465.77,1241.47,2794.62
